marca,ativo,data_migracao
SUMICITY,1,2001-01-01
GIGA+ FIBRA,1,2022-03-01
CLICK,1,2023-03-13
UNIVOX,1,2023-05-08
LIGUE,1,2023-11-06
VIP,1,2024-02-05
NIU,1,2024-02-05
PAMNET,1,2024-02-05
MOB,1,2024-04-07
