cidade,cidade_sem_acento,uf,marca,macro_regional,sigla_regional,regional1,subregional,chave
TERESINA,TERESINA,PI,MOB,Nordeste,T13,Teresina,T13,TERESINA-PI-MOB
TERESÓPOLIS,TERESOPOLIS,RJ,SUMICITY,Sudeste 2,T6,Serrana,T6.1,TERESOPOLIS-RJ-SUMICITY
TERRA NOVA,TERRA NOVA,PE,MOB,Nordeste,T10,Pernambuco,T10,TERRA NOVA-PE-MOB
TIANGUÁ,TIANGUA,CE,MOB,Nordeste,T14,Fortaleza,T14.3 - Sobral,TIANGUA-CE-MOB
TIMBAÚBA,TIMBAUBA,PE,MOB,Nordeste,T10,Pernambuco,T10,TIMBAUBA-PE-MOB
TIMON,TIMON,MA,MOB,Nordeste,T13,Teresina,T13,TIMON-MA-MOB
TORITAMA,TORITAMA,PE,MOB,Nordeste,T10,Pernambuco,T10,TORITAMA-PE-MOB
Tracunhaem,TRACUNHAEM,PE,MOB,Nordeste,R10,Pernambuco,R10 - Pernambuco,TRACUNHAEM-PE-MOB
TRAIRI,TRAIRI,CE,MOB,Nordeste,T14,Fortaleza,T14.3 - Sobral,TRAIRI-CE-MOB
TREMEMBÉ,TREMEMBE,SP,VIP,Sudeste 1,T4,São Paulo,T4.5,TREMEMBE-SP-VIP
TRÊS RIOS,TRES RIOS,RJ,SUMICITY,Sudeste 2,T6,Serrana,T6.2,TRES RIOS-RJ-SUMICITY
UBAJARA,UBAJARA,CE,MOB,Nordeste,T14,Fortaleza,T14.3 - Sobral,UBAJARA-CE-MOB
UBERABA,UBERABA,MG,CLICK,Sudeste 2,T8,Minas Gerais,T8.2,UBERABA-MG-CLICK
UBERLÂNDIA,UBERLANDIA,MG,CLICK,Sudeste 2,T8,Minas Gerais,T8.3,UBERLANDIA-MG-CLICK
UBIRATÃ,UBIRATA,PR,LIGUE,Sudeste 1,T1,Paraná,T1,UBIRATA-PR-LIGUE
VALENÇA,VALENCA,RJ,SUMICITY,Sudeste 2,T6,Serrana,T6.2,VALENCA-RJ-SUMICITY
VÁRZEA ALEGRE,VARZEA ALEGRE,CE,MOB,Nordeste,T12,Juazeiro,T12,VARZEA ALEGRE-CE-MOB
VASSOURAS,VASSOURAS,RJ,SUMICITY,Sudeste 2,T6,Serrana,T6.2,VASSOURAS-RJ-SUMICITY
VERDEJANTE,VERDEJANTE,PE,MOB,Nordeste,T10,Pernambuco,T10,VERDEJANTE-PE-MOB
Vertente Do Lerio,VERTENTE DO LERIO,PE,MOB,Nordeste,R10,Pernambuco,R10 - Pernambuco,VERTENTE DO LERIO-PE-MOB
VILA VELHA,VILA VELHA,ES,SUMICITY,Sudeste 2,T7,ES & Campos,T7.2,VILA VELHA-ES-SUMICITY
VITÓRIA,VITORIA,ES,SUMICITY,Sudeste 2,T7,ES & Campos,T7.2,VITORIA-ES-SUMICITY
VOLTA REDONDA,VOLTA REDONDA,RJ,SUMICITY,Sudeste 2,T6,Serrana,T6.2,VOLTA REDONDA-RJ-SUMICITY
ITARIRI,ITARIRI,SP,NIU FIBRA,Sudeste 1,T4,Litoral SP,R4.1,ITARIRI-SP-NIU FIBRA
ITAMARACÁ,ITAMARACA,PE,MOB,Nordeste,T10,Pernambuco,R10,ITAMARACA-PE-MOB
