cidade,cidade_sem_acento,uf,marca,macro_regional,sigla_regional,regional1,subregional,chave
ITAÚ DE MINAS,ITAU DE MINAS,MG,UNIVOX,Sudeste 2,T8,Minas Gerais,T8.1,ITAU DE MINAS-MG-UNIVOX
ITIRAPUÃ,ITIRAPUA,SP,UNIVOX,Sudeste 2,T9,Brasília & Interior MG,T9.2,ITIRAPUA-SP-UNIVOX
ITUVERAVA,ITUVERAVA,SP,CLICK,Sudeste 2,T9,Brasília & Interior MG,T9.2,ITUVERAVA-SP-CLICK
Jabotão dos Guararapes,JABOATAO DOS GUARARAPES,PE,MOB,Nordeste,R10,Pernambuco,R10 - Pernambuco,JABOATAO DOS GUARARAPES-PE-MOB
JACAREÍ,JACAREI,SP,VIP,Sudeste 1,T4,São Paulo,T4.5,JACAREI-SP-VIP
JACUÍ,JACUI,MG,UNIVOX,Sudeste 2,T8,Minas Gerais,T8.1,JACUI-MG-UNIVOX
JANDAIA DO SUL,JANDAIA DO SUL,PR,LIGUE,Sudeste 1,T1,Paraná,T1,JANDAIA DO SUL-PR-LIGUE
JAPOATÃ,JAPOATA,SE,MOB,Nordeste,T11,Sergipe,T11,JAPOATA-SE-MOB
JATI,JATI,CE,MOB,Nordeste,T12,Juazeiro,T12,JATI-CE-MOB
JIJOCA DE JERICOACOARA,JIJOCA DE JERICOACOARA,CE,MOB,Nordeste,T14,Fortaleza,T14.3 - Sobral,JIJOCA DE JERICOACOARA-CE-MOB
JUAZEIRO DO NORTE,JUAZEIRO DO NORTE,CE,MOB,Nordeste,T12,Juazeiro,T12,JUAZEIRO DO NORTE-CE-MOB
JUCÁS,JUCAS,CE,MOB,Nordeste,T12,Juazeiro,T12,JUCAS-CE-MOB
JUSSARA,JUSSARA,PR,LIGUE,Sudeste 1,T1,Paraná,T1,JUSSARA-PR-LIGUE
LAGARTO,LAGARTO,SE,MOB,Nordeste,T11,Sergipe,T11,LAGARTO-SE-MOB
Lagoa de Itaenga,LAGOA DE ITAENGA,PE,MOB,Nordeste,R10,Pernambuco,R10 - Pernambuco,LAGOA DE ITAENGA-PE-MOB
Lagoa Do Carro,LAGOA DO CARRO,PE,MOB,Nordeste,R10,Pernambuco,R10 - Pernambuco,LAGOA DO CARRO-PE-MOB
LAJE DO MURIAÉ,LAJE DO MURIAE,RJ,SUMICITY,Sudeste 2,T7,ES & Campos,T7.1,LAJE DO MURIAE-RJ-SUMICITY
LARANJEIRAS,LARANJEIRAS,SE,MOB,Nordeste,T11,Sergipe,T11,LARANJEIRAS-SE-MOB
LAVRAS DA MANGABEIRA,LAVRAS DA MANGABEIRA,CE,MOB,Nordeste,T12,Juazeiro,T12,LAVRAS DA MANGABEIRA-CE-MOB
LIMOEIRO,LIMOEIRO,PE,MOB,Nordeste,T10,Pernambuco,T10,LIMOEIRO-PE-MOB
LIMOEIRO DO NORTE,LIMOEIRO DO NORTE,CE,MOB,Nordeste,T14,Fortaleza,T14.1 - Cascavel,LIMOEIRO DO NORTE-CE-MOB
MACAÉ,MACAE,RJ,SUMICITY,Sudeste 2,T5,Lagos RJ,T5.2,MACAE-RJ-SUMICITY
MACUCO,MACUCO,RJ,SUMICITY,Sudeste 2,T7,ES & Campos,T7.1,MACUCO-RJ-SUMICITY
MAGÉ,MAGE,RJ,SUMICITY,Sudeste 2,T6,Serrana,T6.1,MAGE-RJ-SUMICITY
MANDAGUARI,MANDAGUARI,PR,LIGUE,Sudeste 1,T1,Paraná,T1,MANDAGUARI-PR-LIGUE
MARACANAÚ,MARACANAU,CE,MOB,Nordeste,T14,Fortaleza,T14.2 - Fortaleza,MARACANAU-CE-MOB
MARANGUAPE,MARANGUAPE,CE,MOB,Nordeste,T14,Fortaleza,T14.2 - Fortaleza,MARANGUAPE-CE-MOB
MARATAÍZES,MARATAIZES,ES,SUMICITY,Sudeste 2,T7,ES & Campos,T7.2,MARATAIZES-ES-SUMICITY
MARIALVA,MARIALVA,PR,LIGUE,Sudeste 1,T1,Paraná,T1,MARIALVA-PR-LIGUE
MARINGÁ,MARINGA,PR,LIGUE,Sudeste 1,T1,Paraná,T1,MARINGA-PR-LIGUE
MAUÁ,MAUA,SP,VIP,Sudeste 1,T3,São Paulo,T3.2,MAUA-SP-VIP
MAURITI,MAURITI,CE,MOB,Nordeste,T12,Juazeiro,T12,MAURITI-CE-MOB
MIGUEL PEREIRA,MIGUEL PEREIRA,RJ,SUMICITY,Sudeste 2,T6,Serrana,T6.2,MIGUEL PEREIRA-RJ-SUMICITY
MIRACEMA,MIRACEMA,RJ,SUMICITY,Sudeste 2,T7,ES & Campos,T7.1,MIRACEMA-RJ-SUMICITY
MIRANDIBA,MIRANDIBA,PE,MOB,Nordeste,T10,Pernambuco,T10,MIRANDIBA-PE-MOB
MISSÃO VELHA,MISSAO VELHA,CE,MOB,Nordeste,T12,Juazeiro,T12,MISSAO VELHA-CE-MOB
MOGI DAS CRUZES,MOGI DAS CRUZES,SP,VIP,Sudeste 1,T3,São Paulo,T3.2,MOGI DAS CRUZES-SP-VIP
MOMBAÇA,MOMBACA,CE,MOB,Nordeste,T12,Juazeiro,T12,MOMBACA-CE-MOB
MONGAGUÁ,MONGAGUA,SP,NIU FIBRA,Sudeste 1,T4,Litoral SP,T4.1,MONGAGUA-SP-NIU FIBRA
MONTE SANTO DE MINAS,MONTE SANTO DE MINAS,MG,UNIVOX,Sudeste 2,T8,Minas Gerais,T8.1,MONTE SANTO DE MINAS-MG-UNIVOX
MORADA NOVA,MORADA NOVA,CE,MOB,Nordeste,T14,Fortaleza,T14.1 - Cascavel,MORADA NOVA-CE-MOB
MORRO AGUDO,MORRO AGUDO,SP,CLICK,Sudeste 2,T9,Brasília & Interior MG,T9.2,MORRO AGUDO-SP-CLICK
MUCAMBO,MUCAMBO,CE,MOB,Nordeste,T14,Fortaleza,T14.3 - Sobral,MUCAMBO-CE-MOB
MURIAÉ,MURIAE,MG,SUMICITY,Sudeste 2,T7,ES & Campos,T7.1,MURIAE-MG-SUMICITY
NAZARÉ DA MATA,NAZARE DA MATA,PE,MOB,Nordeste,T10,Pernambuco,T10,NAZARE DA MATA-PE-MOB
NEPOMUCENO,NEPOMUCENO,MG,UNIVOX,Sudeste 2,T8,Minas Gerais,T8.1,NEPOMUCENO-MG-UNIVOX
NOSSA SENHORA DO SOCORRO,NOSSA SENHORA DO SOCORRO,SE,MOB,Nordeste,T11,Sergipe,T11,NOSSA SENHORA DO SOCORRO-SE-MOB
NOVA FRIBURGO,NOVA FRIBURGO,RJ,SUMICITY,Sudeste 2,T6,Serrana,T6.1,NOVA FRIBURGO-RJ-SUMICITY
NOVA PONTE,NOVA PONTE,MG,CLICK,Sudeste 2,T8,Minas Gerais,T8.2,NOVA PONTE-MG-CLICK
OLINDA,OLINDA,PE,MOB,Nordeste,T10,Pernambuco,T10,OLINDA-PE-MOB
ORLÂNDIA,ORLANDIA,SP,CLICK,Sudeste 2,T9,Brasília & Interior MG,T9.2,ORLANDIA-SP-CLICK
ORÓS,OROS,CE,MOB,Nordeste,T12,Juazeiro,T12,OROS-CE-MOB
PACAJUS,PACAJUS,CE,MOB,Nordeste,T14,Fortaleza,T14.1 - Cascavel,PACAJUS-CE-MOB
PACATUBA,PACATUBA,CE,MOB,Nordeste,T14,Fortaleza,T14.2 - Fortaleza,PACATUBA-CE-MOB
PACATUBA,PACATUBA,SE,MOB,Nordeste,T11,Sergipe,T11,PACATUBA-SE-MOB
PACUJÁ,PACUJA,CE,MOB,Nordeste,T14,Fortaleza,T14.3 - Sobral,PACUJA-CE-MOB
PAIÇANDU,PAICANDU,PR,LIGUE,Sudeste 1,T1,Paraná,T1,PAICANDU-PR-LIGUE
PARACURU,PARACURU,CE,MOB,Nordeste,T14,Fortaleza,T14.3 - Sobral,PARACURU-CE-MOB
PARAÍBA DO SUL,PARAIBA DO SUL,RJ,SUMICITY,Sudeste 2,T6,Serrana,T6.2,PARAIBA DO SUL-RJ-SUMICITY
PARAIPABA,PARAIPABA,CE,MOB,Nordeste,T14,Fortaleza,T14.3 - Sobral,PARAIPABA-CE-MOB
PARAMBU,PARAMBU,CE,MOB,Nordeste,T12,Juazeiro,T12,PARAMBU-CE-MOB
PARAUAPEBAS,PARAUAPEBAS,PA,MOB,Nordeste,T13,Teresina,T13,PARAUAPEBAS-PA-MOB
PARNAÍBA,PARNAIBA,PI,MOB,Nordeste,T13,Fortaleza,T13.1,PARNAIBA-PI-MOB
PARNAMIRIM,PARNAMIRIM,PE,MOB,Nordeste,T10,Pernambuco,T10,PARNAMIRIM-PE-MOB
PASSOS,PASSOS,MG,UNIVOX,Sudeste 2,T8,Minas Gerais,T8.1,PASSOS-MG-UNIVOX
PATROCÍNIO PAULISTA,PATROCINIO PAULISTA,SP,UNIVOX,Sudeste 2,T9,Brasília & Interior MG,T9.2,PATROCINIO PAULISTA-SP-UNIVOX
PATY DO ALFERES,PATY DO ALFERES,RJ,SUMICITY,Sudeste 2,T6,Serrana,T6.2,PATY DO ALFERES-RJ-SUMICITY
PAUDALHO,PAUDALHO,PE,MOB,Nordeste,T10,Pernambuco,T10,PAUDALHO-PE-MOB
PAULISTA,PAULISTA,PE,MOB,Nordeste,T10,Pernambuco,T10,PAULISTA-PE-MOB
PEABIRU,PEABIRU,PR,LIGUE,Sudeste 1,T1,Paraná,T1,PEABIRU-PR-LIGUE
PEDRINÓPOLIS,PEDRINOPOLIS,MG,CLICK,Sudeste 2,T8,Minas Gerais,T8.2,PEDRINOPOLIS-MG-CLICK
PENTECOSTE,PENTECOSTE,CE,MOB,Nordeste,T14,Fortaleza,T14.3 - Sobral,PENTECOSTE-CE-MOB
PERDIZES,PERDIZES,MG,CLICK,Sudeste 2,T8,Minas Gerais,T8.2,PERDIZES-MG-CLICK
PERUÍBE,PERUIBE,SP,NIU FIBRA,Sudeste 1,T4,Litoral SP,T4.1,PERUIBE-SP-NIU FIBRA
PETRÓPOLIS,PETROPOLIS,RJ,SUMICITY,Sudeste 2,T6,Serrana,T6.1,PETROPOLIS-RJ-SUMICITY
PINDORETAMA,PINDORETAMA,CE,MOB,Nordeste,T14,Fortaleza,T14.1 - Cascavel,PINDORETAMA-CE-MOB
PINHEIRAL,PINHEIRAL,RJ,SUMICITY,Sudeste 2,T6,Serrana,T6.2,PINHEIRAL-RJ-SUMICITY
PIQUET CARNEIRO,PIQUET CARNEIRO,CE,MOB,Nordeste,T12,Juazeiro,T12,PIQUET CARNEIRO-CE-MOB
PIÚMA,PIUMA,ES,SUMICITY,Sudeste 2,T7,ES & Campos,T7.2,PIUMA-ES-SUMICITY
POÁ,POA,SP,VIP,Sudeste 1,T3,São Paulo,R3.2,POA-SP-VIP
PORTEIRAS,PORTEIRAS,CE,MOB,Nordeste,T12,Juazeiro,T12,PORTEIRAS-CE-MOB
PORTO REAL,PORTO REAL,RJ,SUMICITY,Sudeste 2,T6,Serrana,T6.2,PORTO REAL-RJ-SUMICITY
PRAIA GRANDE,PRAIA GRANDE,SP,NIU FIBRA,Sudeste 1,T4,Litoral SP,T4.1,PRAIA GRANDE-SP-NIU FIBRA
PRATÁPOLIS,PRATAPOLIS,MG,UNIVOX,Sudeste 2,T8,Minas Gerais,T8.1,PRATAPOLIS-MG-UNIVOX
PRATINHA,PRATINHA,MG,CLICK,Sudeste 2,T8,Minas Gerais,T8.2,PRATINHA-MG-CLICK
PROPRIÁ,PROPRIA,SE,MOB,Nordeste,T11,Sergipe,T11,PROPRIA-SE-MOB
QUIXADÁ,QUIXADA,CE,MOB,Nordeste,T14,Fortaleza,T14.1 - Cascavel,QUIXADA-CE-MOB
QUIXELÔ,QUIXELO,CE,MOB,Nordeste,T12,Juazeiro,T12,QUIXELO-CE-MOB
Quixeramobim,QUIXERAMOBIM,CE,MOB,Nordeste,R14,Fortaleza,R14.1 - Cascavel,QUIXERAMOBIM-CE-MOB
Recife,RECIFE,PE,MOB,Nordeste,R10,Pernambuco,R10 - Pernambuco,RECIFE-PE-MOB
RESENDE,RESENDE,RJ,SUMICITY,Sudeste 2,T6,Serrana,T6.2,RESENDE-RJ-SUMICITY
RIBEIRÃO PIRES,RIBEIRAO PIRES,SP,VIP,Sudeste 1,T3,São Paulo,T3.2,RIBEIRAO PIRES-SP-VIP
RIBEIRÃO PRETO,RIBEIRAO PRETO,SP,NIU FIBRA,Sudeste 2,T9,Brasília & Interior MG,T9.2,RIBEIRAO PRETO-SP-NIU FIBRA
RIO DAS OSTRAS,RIO DAS OSTRAS,RJ,SUMICITY,Sudeste 2,T5,Lagos RJ,T5.2,RIO DAS OSTRAS-RJ-SUMICITY
RIO GRANDE DA SERRA,RIO GRANDE DA SERRA,SP,VIP,Sudeste 1,T3,São Paulo,T3.2,RIO GRANDE DA SERRA-SP-VIP
ROLÂNDIA,ROLANDIA,PR,LIGUE,Sudeste 1,T1,Paraná,T1,ROLANDIA-PR-LIGUE
ROSÁRIO DO CATETE,ROSARIO DO CATETE,SE,MOB,Nordeste,T11,Sergipe,T11,ROSARIO DO CATETE-SE-MOB
RUSSAS,RUSSAS,CE,MOB,Nordeste,T14,Fortaleza,T14.1 - Cascavel,RUSSAS-CE-MOB
Saboeiro,SABOEIRO,CE,MOB,Nordeste,R12,Juazeiro,R12 - JUAZEIRO,SABOEIRO-CE-MOB
SACRAMENTO,SACRAMENTO,MG,CLICK,Sudeste 2,T8,Minas Gerais,T8.2,SACRAMENTO-MG-CLICK
SALGUEIRO,SALGUEIRO,PE,MOB,Nordeste,T10,Pernambuco,T10,SALGUEIRO-PE-MOB
SALITRE,SALITRE,CE,MOB,Nordeste,T12,Juazeiro,T12,SALITRE-CE-MOB
SANTA CRUZ DO CAPIBARIBE,SANTA CRUZ DO CAPIBARIBE,PE,MOB,Nordeste,T10,Pernambuco,T10,SANTA CRUZ DO CAPIBARIBE-PE-MOB
SANTA JULIANA,SANTA JULIANA,MG,CLICK,Sudeste 2,T8,Minas Gerais,T8.2,SANTA JULIANA-MG-CLICK
